parent,run_id,task,policy,n_children,n_artifact,n_silent,top1_expected,raw_regret,escalated_expected,low_wall_s,all_full_runtime_s,restart_cost_s,continuation_cost_s
chaii-hindi-and-tamil-question-answering__c31a1c3b91a14ef5afef98719da1d101,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,top1_scalar_loto,3,0,3,0.0,0.019979999999999998,1.0,136.4,6553.884172439575,2151.788067007065,2031.788067007065
chaii-hindi-and-tamil-question-answering__c31a1c3b91a14ef5afef98719da1d101,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,top1_text_loto,3,0,3,0.0,0.011849999999999916,1.0,136.4,6553.884172439575,2657.284269952774,2537.284269952774
chaii-hindi-and-tamil-question-answering__c31a1c3b91a14ef5afef98719da1d101,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,top1_combined_loto,3,0,3,0.0,0.019979999999999998,1.0,136.4,6553.884172439575,2151.788067007065,2031.788067007065
chaii-hindi-and-tamil-question-answering__c31a1c3b91a14ef5afef98719da1d101,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,oracle_top1,3,0,3,1.0,0.0,1.0,136.4,6553.884172439575,2154.0118354797364,2034.0118354797364
chaii-hindi-and-tamil-question-answering__c31a1c3b91a14ef5afef98719da1d101,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,all_escalate,3,0,3,1.0,0.0,3.0,136.4,6553.884172439575,6690.284172439575,6330.284172439575
chaii-hindi-and-tamil-question-answering__c31a1c3b91a14ef5afef98719da1d101,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,full_external,3,0,3,1.0,0.0,3.0,136.4,6553.884172439575,6553.884172439575,6553.884172439575
chaii-hindi-and-tamil-question-answering__cbe405cf5c2e48e8ab6dbb29f814b88e,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,random_expected,3,0,3,0.3333333333333333,0.016863333333333303,1.0,175.8,1590.8876776695251,706.0958925565083,586.0958925565083
chaii-hindi-and-tamil-question-answering__cbe405cf5c2e48e8ab6dbb29f814b88e,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,stdout_tfidf,3,0,3,1.0,0.0,1.0,175.8,1590.8876776695251,799.5229554653167,679.5229554653167
chaii-hindi-and-tamil-question-answering__cbe405cf5c2e48e8ab6dbb29f814b88e,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,top1_scalar_run_oof,3,0,3,1.0,0.0,1.0,175.8,1590.8876776695251,799.5229554653167,679.5229554653167
chaii-hindi-and-tamil-question-answering__cbe405cf5c2e48e8ab6dbb29f814b88e,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,top1_text_run_oof,3,0,3,1.0,0.0,1.0,175.8,1590.8876776695251,799.5229554653167,679.5229554653167
