run_id,task,cards,graded_cards,legal_parent_child_edges,observed_components,closed_nodes,branch_points,closed_branch_points,deep_closed_branch_points,max_closed_depth_to_leaf
cards_ours_20260727.jsonl:61,random-acts-of-pizza,7,7,1,6,6,0,0,0,1
cards_ours_20260727.jsonl:62,leaf-classification,7,7,1,6,6,0,0,0,0
cards_ours_20260727.jsonl:63,leaf-classification,8,8,2,6,7,1,0,0,0
cards_ours_20260727.jsonl:64,random-acts-of-pizza,6,6,0,6,5,0,0,0,0
cards_ours_20260727.jsonl:65,random-acts-of-pizza,13,13,6,7,11,2,0,0,0
cards_ours_20260727.jsonl:66,leaf-classification,10,10,2,8,9,1,0,0,0
cards_ours_20260727.jsonl:67,random-acts-of-pizza,6,6,0,6,5,0,0,0,0
cards_ours_20260727.jsonl:68,random-acts-of-pizza,12,12,5,7,11,1,0,0,1
cards_ours_20260727.jsonl:69,random-acts-of-pizza,10,10,3,7,9,1,0,0,0
cards_ours_20260727.jsonl:7,spaceship-titanic,10,10,2,8,9,1,0,0,0
cards_ours_20260727.jsonl:70,leaf-classification,12,12,4,8,10,1,0,0,0
cards_ours_20260727.jsonl:71,leaf-classification,9,9,1,8,8,0,0,0,0
cards_ours_20260727.jsonl:72,random-acts-of-pizza,7,7,1,6,6,0,0,0,1
cards_ours_20260727.jsonl:73,random-acts-of-pizza,8,8,2,6,7,1,0,0,0
cards_ours_20260727.jsonl:74,leaf-classification,11,11,6,5,10,1,1,0,2
cards_ours_20260727.jsonl:75,text-normalization-challenge-russian-language,2,2,0,2,2,0,0,0,0
cards_ours_20260727.jsonl:76,tweet-sentiment-extraction,3,3,0,3,3,0,0,0,0
cards_ours_20260727.jsonl:77,text-normalization-challenge-russian-language,3,3,0,3,3,0,0,0,0
cards_ours_20260727.jsonl:78,tweet-sentiment-extraction,9,9,2,7,8,1,0,0,0
cards_ours_20260727.jsonl:79,tabular-playground-series-dec-2021,3,3,0,3,3,0,0,0,0
cards_ours_20260727.jsonl:8,spaceship-titanic,8,8,2,6,7,0,0,0,1
cards_ours_20260727.jsonl:80,tabular-playground-series-dec-2021,4,4,0,4,4,0,0,0,0
cards_ours_20260727.jsonl:81,tabular-playground-series-dec-2021,5,5,0,5,5,0,0,0,0
cards_ours_20260727.jsonl:82,tabular-playground-series-dec-2021,3,3,0,3,3,0,0,0,0
cards_ours_20260727.jsonl:83,tabular-playground-series-dec-2021,2,2,0,2,2,0,0,0,0
cards_ours_20260727.jsonl:84,tabular-playground-series-dec-2021,5,5,0,5,5,0,0,0,0
cards_ours_20260727.jsonl:85,tabular-playground-series-dec-2021,3,3,0,3,3,0,0,0,0
cards_ours_20260727.jsonl:86,tabular-playground-series-dec-2021,5,5,0,5,5,0,0,0,0
cards_ours_20260727.jsonl:87,tabular-playground-series-dec-2021,4,4,0,4,4,0,0,0,0
cards_ours_20260727.jsonl:88,tabular-playground-series-dec-2021,3,3,0,3,3,0,0,0,0
cards_ours_20260727.jsonl:89,tabular-playground-series-dec-2021,4,4,0,4,4,0,0,0,0
cards_ours_20260727.jsonl:9,spaceship-titanic,11,11,4,7,8,1,0,0,0
cards_ours_20260727.jsonl:90,tabular-playground-series-dec-2021,5,5,0,5,5,0,0,0,0
cards_ours_20260727.jsonl:91,tabular-playground-series-dec-2021,3,3,0,3,3,0,0,0,0
cards_ours_20260727.jsonl:92,tabular-playground-series-dec-2021,5,5,0,5,5,0,0,0,0
cards_ours_20260727.jsonl:93,tabular-playground-series-dec-2021,4,4,0,4,4,0,0,0,0
cards_ours_20260727.jsonl:94,tabular-playground-series-dec-2021,3,3,0,3,3,0,0,0,0
cards_ours_20260727.jsonl:95,tabular-playground-series-dec-2021,5,5,0,5,5,0,0,0,0
cards_ours_20260727.jsonl:96,tabular-playground-series-dec-2021,3,3,0,3,3,0,0,0,0
cards_ours_20260727.jsonl:97,tabular-playground-series-dec-2021,3,3,0,3,3,0,0,0,0
cards_ours_20260727.jsonl:98,tabular-playground-series-dec-2021,4,4,0,4,4,0,0,0,0
cards_ours_20260727.jsonl:99,tabular-playground-series-dec-2021,4,4,0,4,4,0,0,0,0
cards_senior_0724.jsonl:0,petfinder-pawpularity-score,10,10,2,8,9,1,0,0,0
cards_senior_0724.jsonl:1,petfinder-pawpularity-score,10,10,2,8,9,1,0,0,0
cards_senior_0724.jsonl:10,tabular-playground-series-may-2022,5,5,0,5,5,0,0,0,0
cards_senior_0724.jsonl:2,petfinder-pawpularity-score,5,5,0,5,5,0,0,0,0
cards_senior_0724.jsonl:3,petfinder-pawpularity-score,17,17,4,13,14,1,0,0,1
cards_senior_0724.jsonl:4,petfinder-pawpularity-score,10,10,1,9,9,0,0,0,0
cards_senior_0724.jsonl:5,petfinder-pawpularity-score,5,5,0,5,5,0,0,0,0
cards_senior_0724.jsonl:6,petfinder-pawpularity-score,10,10,3,7,9,1,0,0,0
cards_senior_0724.jsonl:7,petfinder-pawpularity-score,10,10,2,8,9,1,0,0,0
cards_senior_0724.jsonl:8,google-quest-challenge,6,6,1,5,6,0,0,0,1
cards_senior_0724.jsonl:9,tabular-playground-series-may-2022,5,5,0,5,5,0,0,0,0
cards_senior_0726.jsonl:0,spooky-author-identification,9,9,0,9,9,0,0,0,0
cards_senior_0726.jsonl:1,spooky-author-identification,10,10,4,6,6,0,0,0,1
cards_senior_0726.jsonl:10,mlsp-2013-birds,122,122,65,57,93,7,0,0,7
cards_senior_0726.jsonl:11,mlsp-2013-birds,95,95,53,42,83,10,3,1,5
cards_senior_0726.jsonl:12,mlsp-2013-birds,83,83,42,41,61,8,0,0,2
cards_senior_0726.jsonl:13,mlsp-2013-birds,67,67,30,37,55,3,0,0,6
cards_senior_0726.jsonl:14,mlsp-2013-birds,81,81,40,41,61,6,0,0,6
cards_senior_0726.jsonl:2,spooky-author-identification,9,9,2,7,5,0,0,0,0
cards_senior_0726.jsonl:3,spooky-author-identification,10,10,2,8,9,1,0,0,0
cards_senior_0726.jsonl:4,spooky-author-identification,10,10,1,9,9,0,0,0,0
cards_senior_0726.jsonl:5,nomad2018-predict-transparent-conductors,13,13,4,9,11,1,0,0,0
cards_senior_0726.jsonl:6,nomad2018-predict-transparent-conductors,39,39,18,21,22,2,0,0,1
cards_senior_0726.jsonl:7,nomad2018-predict-transparent-conductors,48,48,20,28,38,6,1,0,2
cards_senior_0726.jsonl:8,nomad2018-predict-transparent-conductors,23,23,8,15,20,2,0,0,4
cards_senior_0726.jsonl:9,mlsp-2013-birds,149,149,64,85,116,9,0,0,12
cards_senior_0727.jsonl:0,petfinder-pawpularity-score,12,12,6,6,7,1,0,0,0
cards_senior_0727.jsonl:1,petfinder-pawpularity-score,15,15,6,9,10,2,1,0,1
cards_senior_0727.jsonl:10,tabular-playground-series-may-2022,10,10,1,9,9,0,0,0,0
cards_senior_0727.jsonl:11,denoising-dirty-documents,26,26,14,12,16,2,1,1,3
cards_senior_0727.jsonl:12,denoising-dirty-documents,22,22,12,10,14,4,2,1,2
cards_senior_0727.jsonl:13,denoising-dirty-documents,24,24,16,8,15,3,2,1,2
cards_senior_0727.jsonl:14,denoising-dirty-documents,5,5,2,3,3,0,0,0,0
cards_senior_0727.jsonl:15,denoising-dirty-documents,14,14,8,6,9,2,0,0,2
cards_senior_0727.jsonl:16,denoising-dirty-documents,15,15,6,9,9,0,0,0,1
cards_senior_0727.jsonl:2,petfinder-pawpularity-score,14,14,10,4,9,4,1,0,1
cards_senior_0727.jsonl:3,petfinder-pawpularity-score,16,16,8,8,9,2,1,0,1
cards_senior_0727.jsonl:4,spooky-author-identification,8,8,3,5,7,0,0,0,2
cards_senior_0727.jsonl:5,spooky-author-identification,6,6,1,5,4,0,0,0,0
cards_senior_0727.jsonl:6,spooky-author-identification,2,2,0,2,2,0,0,0,0
cards_senior_0727.jsonl:7,tabular-playground-series-may-2022,15,15,7,8,13,2,0,0,0
cards_senior_0727.jsonl:8,tabular-playground-series-may-2022,5,5,0,5,5,0,0,0,0
cards_senior_0727.jsonl:9,tabular-playground-series-may-2022,20,20,8,12,17,3,0,0,0
cards_senior_0728.jsonl:0,petfinder-pawpularity-score,8,8,3,5,5,0,0,0,0
cards_senior_0728.jsonl:1,petfinder-pawpularity-score,11,11,6,5,7,2,0,0,1
cards_senior_0728.jsonl:10,chaii-hindi-and-tamil-question-answering,36,36,21,15,25,1,0,0,4
cards_senior_0728.jsonl:11,chaii-hindi-and-tamil-question-answering,7,7,1,6,5,0,0,0,0
cards_senior_0728.jsonl:12,chaii-hindi-and-tamil-question-answering,19,19,8,11,17,1,0,0,2
cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,19,19,5,14,14,1,0,0,1
