split,subset,task,pair_unweighted_accuracy,pair_gap_weighted_accuracy,component_gain_capture,component_top1_accuracy,component_normalized_regret
dev,Improve,dogs-vs-cats-redux-kernels-edition,0.3333333333333333,0.9434730398617579,0.8869460797235159,0.3333333333333333,0.1130539202764842
dev,Improve,google-quest-challenge,0.5625,0.4033921596451003,-0.19321568070979914,0.5625,1.193215680709799
dev,Improve,histopathologic-cancer-detection,1.0,1.0,1.0,1.0,0.0
dev,Improve,kuzushiji-recognition,0.0,0.0,-1.0,0.0,2.0
dev,Improve,leaf-classification,0.375,0.2704656535288558,-0.45397534004015444,0.2857142857142857,1.4539753400401545
dev,Improve,learning-agency-lab-automated-essay-scoring-2,0.6363636363636364,0.6121890499990498,0.22437809999809966,0.6363636363636364,0.7756219000019003
dev,Improve,mlsp-2013-birds,0.3888888888888889,0.48902019539353536,-0.19449559003412129,0.2857142857142857,1.1944955900341212
dev,Improve,new-york-city-taxi-fare-prediction,0.0,0.0,-1.0000000000000004,0.0,2.0000000000000004
dev,Improve,nomad2018-predict-transparent-conductors,0.2222222222222222,0.2215866530473272,-0.14238980716253347,0.0,1.1423898071625334
dev,Improve,petfinder-pawpularity-score,0.5714285714285714,0.6445577530706765,0.173943202935535,0.3333333333333333,0.826056797064465
dev,Improve,random-acts-of-pizza,0.5,0.37813016187644527,-0.24373967624711032,0.5,1.2437396762471102
dev,Improve,ranzcr-clip-catheter-line-classification,0.3333333333333333,0.2165930544730231,-0.5668138910539533,0.3333333333333333,1.5668138910539533
dev,Improve,spooky-author-identification,0.8461538461538461,0.8948774021249007,0.8526698414889453,0.8,0.1473301585110547
dev,Improve,tabular-playground-series-dec-2021,0.8571428571428571,0.7334632796780681,0.34475474031327163,0.8,0.6552452596867284
dev,Improve,tabular-playground-series-may-2022,0.5714285714285714,0.18110178229488874,-0.637796435410223,0.5714285714285714,1.637796435410223
dev,Improve,text-normalization-challenge-english-language,0.4,0.6040627999876135,0.20812559997522684,0.4,0.7918744000247732
dev,Improve,text-normalization-challenge-russian-language,0.2857142857142857,0.20870793127794754,-0.5825841374441008,0.2857142857142857,1.5825841374441008
dev,Improve,tweet-sentiment-extraction,0.5,0.04403270815757051,-0.9119345836848587,0.5,1.9119345836848587
dev,Improve,us-patent-phrase-to-phrase-matching,0.6875,0.6137167678221,0.2274335356442001,0.6875,0.7725664643557999
