pair_index,left_id,right_id,left_runtime_s,right_runtime_s,serial_runtime_s,ideal_parallel_runtime_s,complete
57,denoising-dirty-documents__66781e4f9074474abd77eef041eec228,denoising-dirty-documents__ced9b66826334e169b3a6f5ed4e19ef7,736.5004577189684,678.5822181999683,1415.0826759189367,736.5004577189684,1
58,denoising-dirty-documents__2777b9434e904072953a89a92373797d,denoising-dirty-documents__63efdaf0641947afad86fb6012c1752d,652.8070220723748,311.7339473962784,964.5409694686532,652.8070220723748,1
59,denoising-dirty-documents__676afd4f1b2048cfa3bb87a9501c0de8,denoising-dirty-documents__9122d7821f0d4e59b227733c2554700b,1408.6809295862913,4487.461624331772,5896.142553918064,4487.461624331772,1
60,petfinder-pawpularity-score__026c48b04aaa4438aae9da38bec47ed7,petfinder-pawpularity-score__64e3f248892444f694e09efe60e01a1d,1101.0091447769955,1592.5363324219943,2693.54547719899,1592.5363324219943,1
61,petfinder-pawpularity-score__98ae1771e33449a9bc6ff401196efe44,petfinder-pawpularity-score__c433e7781ae44b7481c15cf526293e41,1440.9041812139913,1547.8186725099804,2988.7228537239716,1547.8186725099804,1
62,petfinder-pawpularity-score__9cbba7055f264d87a0db66383e964584,petfinder-pawpularity-score__becea4688ddf4823a508ffae89a656a6,1342.3077796889993,928.5015918599966,2270.809371548996,1342.3077796889993,1
63,chaii-hindi-and-tamil-question-answering__b9081490ac8f4c0a881a7086e13524d3,chaii-hindi-and-tamil-question-answering__dbbedeaef23c489cb95315c49f92d5de,669.3040273189545,95.96882820129395,765.2728555202484,669.3040273189545,1
64,chaii-hindi-and-tamil-question-answering__dbbedeaef23c489cb95315c49f92d5de,chaii-hindi-and-tamil-question-answering__ee70fff3621b4e6bb1103794fe23df00,95.96882820129395,1041.512329339981,1137.481157541275,1041.512329339981,1
65,chaii-hindi-and-tamil-question-answering__b9081490ac8f4c0a881a7086e13524d3,chaii-hindi-and-tamil-question-answering__ee70fff3621b4e6bb1103794fe23df00,669.3040273189545,1041.512329339981,1710.8163566589355,1041.512329339981,1
66,chaii-hindi-and-tamil-question-answering__809857640568405e918117ea19d34793,chaii-hindi-and-tamil-question-answering__9084669573164ec5b9a1dccb93b34a76,6847.086950063705,4037.070086956024,10884.15703701973,6847.086950063705,1
67,mlsp-2013-birds__76af9354591e444b845d61bb6cccc4df,mlsp-2013-birds__ff29725943594ec4abf0270f5d388c46,672.7777189910412,319.6152583807707,992.3929773718119,672.7777189910412,1
68,mlsp-2013-birds__49c94f61b44548da812fa30418ac0942,mlsp-2013-birds__8255926996bf4f2c90f2e1ea1887e4b3,1465.43118570745,586.2149556651711,2051.646141372621,1465.43118570745,1
69,mlsp-2013-birds__07142e23740e49b4ae237a2f5b37c9e8,mlsp-2013-birds__4183002247e7443d811f13ebe3aafc3c,200.12963950634003,205.0926683396101,405.2223078459501,205.0926683396101,1
70,mlsp-2013-birds__67976ff545084ae6b3abfc42da38cb9b,mlsp-2013-birds__68c89020da5b42a29bddf195fb2a3ca5,391.7032736465335,233.30219715833664,625.0054708048701,391.7032736465335,1
71,mlsp-2013-birds__c3226ea294bc4d939a1c297aa090394e,mlsp-2013-birds__c4d8fe86bedf4fd7904b376d7ec77854,1004.6835008859634,314.39669431746006,1319.0801952034235,1004.6835008859634,1
72,mlsp-2013-birds__0860c43fc0df4a3e97b21beee6c84656,mlsp-2013-birds__c3226ea294bc4d939a1c297aa090394e,2289.0118171572685,1004.6835008859634,3293.695318043232,2289.0118171572685,1
73,mlsp-2013-birds__0860c43fc0df4a3e97b21beee6c84656,mlsp-2013-birds__c4d8fe86bedf4fd7904b376d7ec77854,2289.0118171572685,314.39669431746006,2603.4085114747286,2289.0118171572685,1
74,mlsp-2013-birds__83676ff46373471d9a13d595e5dfabd9,mlsp-2013-birds__88f03e044884470daa459768f08242d1,976.8917811363935,241.76505676656961,1218.6568379029632,976.8917811363935,1
75,mlsp-2013-birds__83676ff46373471d9a13d595e5dfabd9,mlsp-2013-birds__d8afa823f0a64069bb2ff77d64afd36d,976.8917811363935,1408.5245569050312,2385.4163380414248,1408.5245569050312,1
76,mlsp-2013-birds__88f03e044884470daa459768f08242d1,mlsp-2013-birds__d8afa823f0a64069bb2ff77d64afd36d,241.76505676656961,1408.5245569050312,1650.2896136716008,1408.5245569050312,1
77,mlsp-2013-birds__0e9f4bf6f7b445b38a9f4c5e4482d730,mlsp-2013-birds__ffaf4cfdc51f4c929614a0b0053a34ee,955.6208617314696,2838.6138219237328,3794.2346836552024,2838.6138219237328,1
78,petfinder-pawpularity-score__a95baec3e06f461a944809be367107a6,petfinder-pawpularity-score__e876137978c247af90745bf952843929,751.960570205003,666.421955680009,1418.382525885012,751.960570205003,1
79,petfinder-pawpularity-score__55d05be9027143efaafab341ca686488,petfinder-pawpularity-score__b339297662fe4021b916f1eeb2e70c68,511.3972516899812,62.63504875800572,574.0323004479869,511.3972516899812,1
80,petfinder-pawpularity-score__964afb88411b4a9d8ef4df71997abd0e,petfinder-pawpularity-score__c575ef14cd284db8b09615c0b079762c,173.3320349379792,202.58832886896562,375.9203638069448,202.58832886896562,1
81,petfinder-pawpularity-score__964afb88411b4a9d8ef4df71997abd0e,petfinder-pawpularity-score__be0cb4e60d244d6eb31db04bc82b5c85,173.3320349379792,141.1037611089996,314.4357960469788,173.3320349379792,1
82,petfinder-pawpularity-score__be0cb4e60d244d6eb31db04bc82b5c85,petfinder-pawpularity-score__c575ef14cd284db8b09615c0b079762c,141.1037611089996,202.58832886896562,343.6920899779652,202.58832886896562,1
83,petfinder-pawpularity-score__759af695a6034dd2915c62034b947338,petfinder-pawpularity-score__dec78297ac154f78b55fea24edf7f1a9,49.669778272975236,63.07396869303193,112.74374696600717,63.07396869303193,1
84,petfinder-pawpularity-score__3bb1d929fdcd42989b1bc903db10028d,petfinder-pawpularity-score__759af695a6034dd2915c62034b947338,54.861729758034926,49.669778272975236,104.53150803101016,54.861729758034926,1
85,petfinder-pawpularity-score__3bb1d929fdcd42989b1bc903db10028d,petfinder-pawpularity-score__dec78297ac154f78b55fea24edf7f1a9,54.861729758034926,63.07396869303193,117.93569845106686,63.07396869303193,1
86,petfinder-pawpularity-score__60829bc59d8d4a289a45bb26fcc6ea37,petfinder-pawpularity-score__70b754362f954af49f11aff6ebb35975,158.46058680996066,519.4505654469831,677.9111522569438,519.4505654469831,1
87,petfinder-pawpularity-score__138ea8837fe24b529d33101fe0e40c1a,petfinder-pawpularity-score__60829bc59d8d4a289a45bb26fcc6ea37,493.47717227297835,158.46058680996066,651.937759082939,493.47717227297835,1
88,petfinder-pawpularity-score__138ea8837fe24b529d33101fe0e40c1a,petfinder-pawpularity-score__70b754362f954af49f11aff6ebb35975,493.47717227297835,519.4505654469831,1012.9277377199614,519.4505654469831,1
89,petfinder-pawpularity-score__164ee2d978574b42a052ec28a7d88eef,petfinder-pawpularity-score__2d478cc7a3c244028234f9e7585340c4,148.26134319999255,99.00382475496735,247.2651679549599,148.26134319999255,1
90,petfinder-pawpularity-score__a4d05159e8d943009a4adfe2027c260d,petfinder-pawpularity-score__ea81214e90804bbabe2a4a48ce128864,658.9443513239967,2010.4090051070089,2669.3533564310055,2010.4090051070089,1
