parent,run_id,task,stratum,policy,n_children,n_winners,n_artifact_scored,n_artifact_exists,kept_n,pruned_n,kept_ids,pruned_ids,any_winner_survival,winner_fraction_survival,structured_random_any_winner,structured_random_winner_fraction,kept_fraction,full_runtime_s,probe_wall_s,pruned_full_runtime_s,avoidable_tail_s,restart_cost_ratio,ideal_resume_cost_ratio
denoising-dirty-documents__033f1f41cef04bd590777cae52380df8,cards_senior_0731.jsonl:13,denoising-dirty-documents,easy,full_continue,2,1,0,0,2,0,denoising-dirty-documents__13f0395b31ec47c6a4f8116b12e3ce63|denoising-dirty-documents__823936b3bbff49418a2f507faded41af,,1.0,1.0,,,1.0,7910.258288726211,240.4,0,0,1.030390916607947,1.0
denoising-dirty-documents__033f1f41cef04bd590777cae52380df8,cards_senior_0731.jsonl:13,denoising-dirty-documents,easy,observed_only,2,1,0,0,2,0,denoising-dirty-documents__13f0395b31ec47c6a4f8116b12e3ce63|denoising-dirty-documents__823936b3bbff49418a2f507faded41af,,1.0,1.0,,,1.0,7910.258288726211,240.4,0,0,1.030390916607947,1.0
denoising-dirty-documents__033f1f41cef04bd590777cae52380df8,cards_senior_0731.jsonl:13,denoising-dirty-documents,easy,censor_aware,2,1,0,0,2,0,denoising-dirty-documents__13f0395b31ec47c6a4f8116b12e3ce63|denoising-dirty-documents__823936b3bbff49418a2f507faded41af,,1.0,1.0,1.0,1.0,1.0,7910.258288726211,240.4,0,0,1.030390916607947,1.0
denoising-dirty-documents__4cb4122fb9814bf884cdafecf62298e9,cards_senior_0804.jsonl:23,denoising-dirty-documents,easy,full_continue,2,1,0,0,2,0,denoising-dirty-documents__3f15dea796044d05a16fd6e273d740d8|denoising-dirty-documents__ec6f4762e28d40baaf94ee6b6664a820,,1.0,1.0,,,1.0,5440.142480649054,240.3,0,0,1.0441716372052319,1.0
denoising-dirty-documents__4cb4122fb9814bf884cdafecf62298e9,cards_senior_0804.jsonl:23,denoising-dirty-documents,easy,observed_only,2,1,0,0,2,0,denoising-dirty-documents__3f15dea796044d05a16fd6e273d740d8|denoising-dirty-documents__ec6f4762e28d40baaf94ee6b6664a820,,1.0,1.0,,,1.0,5440.142480649054,240.3,0,0,1.0441716372052319,1.0
denoising-dirty-documents__4cb4122fb9814bf884cdafecf62298e9,cards_senior_0804.jsonl:23,denoising-dirty-documents,easy,censor_aware,2,1,0,0,2,0,denoising-dirty-documents__3f15dea796044d05a16fd6e273d740d8|denoising-dirty-documents__ec6f4762e28d40baaf94ee6b6664a820,,1.0,1.0,1.0,1.0,1.0,5440.142480649054,240.3,0,0,1.0441716372052319,1.0
denoising-dirty-documents__6dd95edcab0e45559bb741b08b038a76,cards_senior_0731.jsonl:13,denoising-dirty-documents,hard,full_continue,2,1,0,0,2,0,denoising-dirty-documents__3ad8b9e4925d4292bdca3ed8183feb67|denoising-dirty-documents__b866c25ad23841308fad35ae81f27a90,,1.0,1.0,,,1.0,10472.243616238236,240.3,0,0,1.022946372220313,1.0
denoising-dirty-documents__6dd95edcab0e45559bb741b08b038a76,cards_senior_0731.jsonl:13,denoising-dirty-documents,hard,observed_only,2,1,0,0,2,0,denoising-dirty-documents__3ad8b9e4925d4292bdca3ed8183feb67|denoising-dirty-documents__b866c25ad23841308fad35ae81f27a90,,1.0,1.0,,,1.0,10472.243616238236,240.3,0,0,1.022946372220313,1.0
denoising-dirty-documents__6dd95edcab0e45559bb741b08b038a76,cards_senior_0731.jsonl:13,denoising-dirty-documents,hard,censor_aware,2,1,0,0,2,0,denoising-dirty-documents__3ad8b9e4925d4292bdca3ed8183feb67|denoising-dirty-documents__b866c25ad23841308fad35ae81f27a90,,1.0,1.0,1.0,1.0,1.0,10472.243616238236,240.3,0,0,1.022946372220313,1.0
denoising-dirty-documents__ced9b66826334e169b3a6f5ed4e19ef7,cards_senior_0727.jsonl:11,denoising-dirty-documents,easy,full_continue,2,1,0,0,2,0,denoising-dirty-documents__2777b9434e904072953a89a92373797d|denoising-dirty-documents__63efdaf0641947afad86fb6012c1752d,,1.0,1.0,,,1.0,964.5409694686532,3.5,0,0,1.0036286690879788,1.0
denoising-dirty-documents__ced9b66826334e169b3a6f5ed4e19ef7,cards_senior_0727.jsonl:11,denoising-dirty-documents,easy,observed_only,2,1,0,0,2,0,denoising-dirty-documents__2777b9434e904072953a89a92373797d|denoising-dirty-documents__63efdaf0641947afad86fb6012c1752d,,1.0,1.0,,,1.0,964.5409694686532,3.5,0,0,1.0036286690879788,1.0
denoising-dirty-documents__ced9b66826334e169b3a6f5ed4e19ef7,cards_senior_0727.jsonl:11,denoising-dirty-documents,easy,censor_aware,2,1,0,0,2,0,denoising-dirty-documents__2777b9434e904072953a89a92373797d|denoising-dirty-documents__63efdaf0641947afad86fb6012c1752d,,1.0,1.0,1.0,1.0,1.0,964.5409694686532,3.5,0,0,1.0036286690879788,1.0
denoising-dirty-documents__dee39489ceb240ffabbd9e9f3e2deb47,cards_senior_0731.jsonl:13,denoising-dirty-documents,hard,full_continue,2,1,0,0,2,0,denoising-dirty-documents__5549e4182535479794bbe510d212e280|denoising-dirty-documents__9ae54f31fa5043d6bf6288f9b2b031c2,,1.0,1.0,,,1.0,3548.303095214069,240.3,0,0,1.0677225122972487,1.0
denoising-dirty-documents__dee39489ceb240ffabbd9e9f3e2deb47,cards_senior_0731.jsonl:13,denoising-dirty-documents,hard,observed_only,2,1,0,0,2,0,denoising-dirty-documents__5549e4182535479794bbe510d212e280|denoising-dirty-documents__9ae54f31fa5043d6bf6288f9b2b031c2,,1.0,1.0,,,1.0,3548.303095214069,240.3,0,0,1.0677225122972487,1.0
denoising-dirty-documents__dee39489ceb240ffabbd9e9f3e2deb47,cards_senior_0731.jsonl:13,denoising-dirty-documents,hard,censor_aware,2,1,0,0,2,0,denoising-dirty-documents__5549e4182535479794bbe510d212e280|denoising-dirty-documents__9ae54f31fa5043d6bf6288f9b2b031c2,,1.0,1.0,1.0,1.0,1.0,3548.303095214069,240.3,0,0,1.0677225122972487,1.0
denoising-dirty-documents__e8ac693c1f134f9fbede2c6e3b7605cf,cards_senior_0804.jsonl:24,denoising-dirty-documents,easy,full_continue,2,1,0,0,2,0,denoising-dirty-documents__9b6a53da44cf4a7c909704e35cc9a7b0|denoising-dirty-documents__d900b645d2f84cf2b3f0f905f2e0f5bc,,1.0,1.0,,,1.0,5915.726876862347,240.2,0,0,1.0406036324867316,1.0
denoising-dirty-documents__e8ac693c1f134f9fbede2c6e3b7605cf,cards_senior_0804.jsonl:24,denoising-dirty-documents,easy,observed_only,2,1,0,0,2,0,denoising-dirty-documents__9b6a53da44cf4a7c909704e35cc9a7b0|denoising-dirty-documents__d900b645d2f84cf2b3f0f905f2e0f5bc,,1.0,1.0,,,1.0,5915.726876862347,240.2,0,0,1.0406036324867316,1.0
denoising-dirty-documents__e8ac693c1f134f9fbede2c6e3b7605cf,cards_senior_0804.jsonl:24,denoising-dirty-documents,easy,censor_aware,2,1,0,0,2,0,denoising-dirty-documents__9b6a53da44cf4a7c909704e35cc9a7b0|denoising-dirty-documents__d900b645d2f84cf2b3f0f905f2e0f5bc,,1.0,1.0,1.0,1.0,1.0,5915.726876862347,240.2,0,0,1.0406036324867316,1.0
