parent,run_id,task,stratum,policy,n_children,n_artifact,n_silent,n_escalated,n_pruned,top1_expected,raw_regret,deployed_available,deployed_utility,full_final_best_utility,deployed_delta_to_full_final,deployed_matches_or_beats_full,deployed_strictly_beats_full,deployed_strictly_loses_full,low_wall_s,all_full_runtime_s,restart_cost_s,continuation_cost_s
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,tfidf_gate,3,0,3,3,0,1.0,0.0,1,0.68914,0.68914,0.0,1.0,0.0,0.0,360.4,1355.3276376724243,1715.7276376724244,1355.7276376724244
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,majority3_gate,3,0,3,3,0,1.0,0.0,1,0.68914,0.68914,0.0,1.0,0.0,0.0,360.4,1355.3276376724243,1715.7276376724244,1355.7276376724244
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,unanimous3_gate,3,0,3,3,0,1.0,0.0,1,0.68914,0.68914,0.0,1.0,0.0,0.0,360.4,1355.3276376724243,1715.7276376724244,1355.7276376724244
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,top1_random,3,0,3,1,2,0.0,0.13959,1,0.54955,0.68914,-0.13959,0.0,0.0,1.0,360.4,1355.3276376724243,545.5410465240478,425.54104652404783
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,top1_tfidf,3,0,3,1,2,1.0,0.0,1,0.68914,0.68914,0.0,1.0,0.0,0.0,360.4,1355.3276376724243,1234.788841867447,1114.788841867447
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,top1_majority3,3,0,3,1,2,0.0,0.0017899999999999583,1,0.68735,0.68914,-0.0017899999999999583,0.0,0.0,1.0,360.4,1355.3276376724243,656.1977492809295,536.1977492809295
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,top1_stdout,3,0,3,1,2,0.0,0.0017899999999999583,1,0.68735,0.68914,-0.0017899999999999583,0.0,0.0,1.0,360.4,1355.3276376724243,656.1977492809295,536.1977492809295
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,top1_progress,3,0,3,1,2,0.0,0.13959,1,0.54955,0.68914,-0.13959,0.0,0.0,1.0,360.4,1355.3276376724243,545.5410465240478,425.54104652404783
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,top1_stdout_tfidf,3,0,3,1,2,1.0,0.0,1,0.68914,0.68914,0.0,1.0,0.0,0.0,360.4,1355.3276376724243,1234.788841867447,1114.788841867447
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,top1_oracle,3,0,3,1,2,1.0,0.0,1,0.68914,0.68914,0.0,1.0,0.0,0.0,360.4,1355.3276376724243,1234.788841867447,1114.788841867447
