task,seed,run,slot,node,code_sha256,reward,inference_seconds,valid,score,independent_score,original_selected,exit_code,timed_out,reader_commit,deployment_commit,inference_job
leaf-classification,2,aa600099292ca506,4,5f33dda3bedf49b588840685a2490716,031b135e2f688c61e860583a048e4020fe106960598b399a50ce4742172268c5,0.7446563243865967,1.0040031879907474,False,,,False,1,False,02d0b5d4a4c75c700934f83c92ff4dd9585e2947,7d5c31c706c4bb18faeda18a27243ff7be539c93,14170
leaf-classification,2,aa600099292ca506,5,4b6c4844dccd474b90705ebecd74f167,4f117f80277b95ac8417699f3ffb07e1cab235df9b177ce05473253ca0f95c04,0.842863142490387,1.2434991110058036,True,1.80818,1.8081820430547408,True,0,False,02d0b5d4a4c75c700934f83c92ff4dd9585e2947,7d5c31c706c4bb18faeda18a27243ff7be539c93,14170
leaf-classification,3,f70d132bf8fd755c,0,846bbddaf98744858ff209f98dbc10aa,b5a22dd3b98ab9bfcf248897f3ff01bcdeaa3fcddca17cd371c504f61bf90035,0.7017130851745605,0.5081679550057743,False,,,False,1,False,02d0b5d4a4c75c700934f83c92ff4dd9585e2947,7d5c31c706c4bb18faeda18a27243ff7be539c93,14170
leaf-classification,3,f70d132bf8fd755c,1,c65439f731ee49eebdc270d81a1f868d,78c598b44805c861ed844d5e81ee43a73ef3d066681f45dbea119d2e4dcd6d59,0.7943849563598633,0.4123553920071572,False,,,False,1,False,02d0b5d4a4c75c700934f83c92ff4dd9585e2947,7d5c31c706c4bb18faeda18a27243ff7be539c93,14170
leaf-classification,3,f70d132bf8fd755c,2,0aa23cb9716541eb8914b5a3dfe4fe6d,34e8d369a0483cdaf355e33d6bc684368499f545604da198c39612c84da562eb,0.672331690788269,1.0379857789957896,True,1.0125,1.0124999483888135,False,0,False,02d0b5d4a4c75c700934f83c92ff4dd9585e2947,7d5c31c706c4bb18faeda18a27243ff7be539c93,14170
leaf-classification,3,f70d132bf8fd755c,3,8831780d791b4c36bd98765b65a6b1ae,b3715f3830b104cc2bc86f24ccce87e9f7c3a1e07518e767ceee84fbb6e41a33,0.8774768114089966,0.68112083998858,True,0.53537,0.5353665845628551,True,0,False,02d0b5d4a4c75c700934f83c92ff4dd9585e2947,7d5c31c706c4bb18faeda18a27243ff7be539c93,14170
leaf-classification,3,f70d132bf8fd755c,4,fd8b74bf2095492785a07a7d8a5adf14,3ac8e8029aacd3a25f5feca5d87a638a43357468cb8689f986b6ec59c6e173de,0.896251380443573,0.8763576929923147,False,,,False,1,False,02d0b5d4a4c75c700934f83c92ff4dd9585e2947,7d5c31c706c4bb18faeda18a27243ff7be539c93,14170
leaf-classification,3,f70d132bf8fd755c,5,194578f79e634ef287ce314fc186dc8c,39be504802f52016579387499df75693482aef32f57021b37ce603cbc6393886,0.970687747001648,0.9654550699924584,True,0.11709,0.11709220828437439,True,0,False,02d0b5d4a4c75c700934f83c92ff4dd9585e2947,7d5c31c706c4bb18faeda18a27243ff7be539c93,14170
spooky-author-identification,1,3277c81be72a1c30,0,e4ecc3bf9f19482781c40c8a8f9b25a8,33cda1f377275936a54e7191947af1063f1e45aa712b20be976c65ca5cbc8ba5,0.4205995798110962,0.2617417679866776,True,0.40975,0.4097469770157427,False,0,False,02d0b5d4a4c75c700934f83c92ff4dd9585e2947,7d5c31c706c4bb18faeda18a27243ff7be539c93,14170
spooky-author-identification,1,3277c81be72a1c30,1,1368c211e847436fb32301b125c39a76,2daa7a5e7ab42cf0ace5ad035484bdee19f54ee37774386656691a9ce74cd2e7,0.5604932308197021,0.2878320300078485,True,0.48343,0.48342976635786983,False,0,False,02d0b5d4a4c75c700934f83c92ff4dd9585e2947,7d5c31c706c4bb18faeda18a27243ff7be539c93,14170
spooky-author-identification,1,3277c81be72a1c30,2,e9292e0a154f41adb7e6c2a6c6bdbe1d,c2d57e68d325a012b02b56c3b25a1ad59c95a6db8ecedb140bd1771410857641,0.815232515335083,0.457821261981735,False,,,True,1,False,02d0b5d4a4c75c700934f83c92ff4dd9585e2947,7d5c31c706c4bb18faeda18a27243ff7be539c93,14170
spooky-author-identification,1,3277c81be72a1c30,3,bc14d75cae454970ae588d066500a351,bc36d982619920bfd97225e293464ef942011b386a745403c5ed404318ec1848,0.7287483215332031,0.37570837599923834,True,0.61266,0.612663306492454,False,0,False,02d0b5d4a4c75c700934f83c92ff4dd9585e2947,7d5c31c706c4bb18faeda18a27243ff7be539c93,14170
spooky-author-identification,1,3277c81be72a1c30,4,abd782484bc6453aa688f4420309535b,01edc95c44c3402bfa664bb584d9f8968c5378e43e9f9ba159824bccbd713a67,0.6242935657501221,0.28907154698390514,False,,,True,1,False,02d0b5d4a4c75c700934f83c92ff4dd9585e2947,7d5c31c706c4bb18faeda18a27243ff7be539c93,14170
spooky-author-identification,1,3277c81be72a1c30,5,76eb6d81ae5046d4ad48027b9a5a1e41,cbead0dea29f12b62ec30ed844e872b14435bb2204c36dba67313e7518448b8e,0.7431680560112,0.39996927400352433,False,,,False,1,False,02d0b5d4a4c75c700934f83c92ff4dd9585e2947,7d5c31c706c4bb18faeda18a27243ff7be539c93,14170
spooky-author-identification,2,58d3914785a2cfe1,0,03e046a643bc4b969a873c6d28b0a71b,1b40bb3ec8f2fb3ec7df903d11bababc5bbc26f59fd913b310918a028795685a,0.10087862610816956,0.40129750000778586,False,,,False,1,False,02d0b5d4a4c75c700934f83c92ff4dd9585e2947,7d5c31c706c4bb18faeda18a27243ff7be539c93,14170
spooky-author-identification,2,58d3914785a2cfe1,1,a95f3a1a09754008bd019dbb5955584e,defd0cca8c58217b51c2f08fd17bcac812f82c25b255afbded1640ce9a20005e,0.8278281688690186,0.37969255301868543,False,,,True,1,False,02d0b5d4a4c75c700934f83c92ff4dd9585e2947,7d5c31c706c4bb18faeda18a27243ff7be539c93,14170
spooky-author-identification,2,58d3914785a2cfe1,2,0a528eaed9514ff9bd242506f70552d3,6cdd9882b4b94b715aafc0a8a431d215f33f0ad21589af01d3394cd36a70da6d,0.6522414088249207,0.2656380879925564,False,,,False,1,False,02d0b5d4a4c75c700934f83c92ff4dd9585e2947,7d5c31c706c4bb18faeda18a27243ff7be539c93,14170
spooky-author-identification,2,58d3914785a2cfe1,3,2f3e6dfcb8e44046955a4d739823c778,f373a41ff5e4f07faaae7ce7e3d0cfe69c6e97fbfb6717257fa47ff70782a2df,0.4433594048023224,0.46016230099485256,False,,,False,1,False,02d0b5d4a4c75c700934f83c92ff4dd9585e2947,7d5c31c706c4bb18faeda18a27243ff7be539c93,14170
spooky-author-identification,2,58d3914785a2cfe1,4,87174b313139424e81402d79a64b53d1,26c65de3fd654d092560cb2097f7d6548ed17336854fcf06e359f202a873d8fa,0.7634837031364441,0.4026297559903469,False,,,True,1,False,02d0b5d4a4c75c700934f83c92ff4dd9585e2947,7d5c31c706c4bb18faeda18a27243ff7be539c93,14170
spooky-author-identification,2,58d3914785a2cfe1,5,069d763a2d2547488ffc21ac39308f3a,29fc3380f37a38ace20fb209db79037d3cedd37fddb0b8a550426faa4000e5e6,0.5851011276245117,0.042179001000477,False,,,False,1,False,02d0b5d4a4c75c700934f83c92ff4dd9585e2947,7d5c31c706c4bb18faeda18a27243ff7be539c93,14170
