parent,run_id,task,stratum,n_children,n_artifacts,n_silent,artifact_coverage,policy,picked,picked_pool_n,top1_expected,raw_regret,rank_expected,observed_low_stage_wall_s,full_eval_count,historical_all_full_runtime_s,cost_restart_exact_s,cost_continue_exact_s,cost_ratio_restart_exact,cost_ratio_continue_exact
chaii-hindi-and-tamil-question-answering__e43679e8e9bf4481a179b114ac9c8c5e,cards_ours_20260727.jsonl:173,chaii-hindi-and-tamil-question-answering,hard,2,1,1,0.5,full_self_report_available,chaii-hindi-and-tamil-question-answering__f51b404ae74e4e72a4517e0733b4e1f6,1,1.0,0.0,1,49.2,2,130.7270479425788,130.7270479425788,130.7270479425788,1.0,1.0
chaii-hindi-and-tamil-question-answering__e43679e8e9bf4481a179b114ac9c8c5e,cards_ours_20260727.jsonl:173,chaii-hindi-and-tamil-question-answering,hard,2,1,1,0.5,sub120_available,chaii-hindi-and-tamil-question-answering__f51b404ae74e4e72a4517e0733b4e1f6,1,1.0,0.0,1,49.2,0,130.7270479425788,49.2,49.2,0.3763566972124304,0.3763566972124304
chaii-hindi-and-tamil-question-answering__e43679e8e9bf4481a179b114ac9c8c5e,cards_ours_20260727.jsonl:173,chaii-hindi-and-tamil-question-answering,hard,2,1,1,0.5,artifact120_escalate_silent,chaii-hindi-and-tamil-question-answering__f51b404ae74e4e72a4517e0733b4e1f6,1,1.0,0.0,1,49.2,1,130.7270479425788,160.3891480833292,130.3891480833292,1.2269010171007557,0.9974152261175665
chaii-hindi-and-tamil-question-answering__f05efa5bb9ac4788b908cb07e0fb4d7b,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,2,0,2,0.0,random,chaii-hindi-and-tamil-question-answering__79675e23561e437885211692d32c5024|chaii-hindi-and-tamil-question-answering__859755a3dccf447cbe49d1ab8a718158,2,0.5,0.0173350000000001,1.5,39.400000000000006,0,879.9492094516754,0.0,0.0,0.0,0.0
chaii-hindi-and-tamil-question-answering__f05efa5bb9ac4788b908cb07e0fb4d7b,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,2,0,2,0.0,full_external,chaii-hindi-and-tamil-question-answering__859755a3dccf447cbe49d1ab8a718158,1,1.0,0.0,1,39.400000000000006,2,879.9492094516754,879.9492094516754,879.9492094516754,1.0,1.0
chaii-hindi-and-tamil-question-answering__f05efa5bb9ac4788b908cb07e0fb4d7b,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,2,0,2,0.0,full_self_report_available,chaii-hindi-and-tamil-question-answering__859755a3dccf447cbe49d1ab8a718158,1,1.0,0.0,1,39.400000000000006,2,879.9492094516754,879.9492094516754,879.9492094516754,1.0,1.0
chaii-hindi-and-tamil-question-answering__f05efa5bb9ac4788b908cb07e0fb4d7b,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,2,0,2,0.0,full_self_report_complete,chaii-hindi-and-tamil-question-answering__859755a3dccf447cbe49d1ab8a718158,1,1.0,0.0,1,39.400000000000006,2,879.9492094516754,879.9492094516754,879.9492094516754,1.0,1.0
chaii-hindi-and-tamil-question-answering__f05efa5bb9ac4788b908cb07e0fb4d7b,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,2,0,2,0.0,sub120_available,chaii-hindi-and-tamil-question-answering__79675e23561e437885211692d32c5024|chaii-hindi-and-tamil-question-answering__859755a3dccf447cbe49d1ab8a718158,2,0.5,0.0173350000000001,1.5,39.400000000000006,0,879.9492094516754,39.400000000000006,39.400000000000006,0.044775311548437446,0.044775311548437446
chaii-hindi-and-tamil-question-answering__f05efa5bb9ac4788b908cb07e0fb4d7b,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,2,0,2,0.0,artifact120_escalate_silent,chaii-hindi-and-tamil-question-answering__859755a3dccf447cbe49d1ab8a718158,1,1.0,0.0,1,39.400000000000006,2,879.9492094516754,919.3492094516754,859.3492094516754,1.0447753115484375,0.9765895579213754
denoising-dirty-documents__033f1f41cef04bd590777cae52380df8,cards_senior_0731.jsonl:13,denoising-dirty-documents,easy,2,0,2,0.0,random,denoising-dirty-documents__13f0395b31ec47c6a4f8116b12e3ce63|denoising-dirty-documents__823936b3bbff49418a2f507faded41af,2,0.5,0.032529999999999996,1.5,60.3,0,7910.258288726211,0.0,0.0,0.0,0.0
denoising-dirty-documents__033f1f41cef04bd590777cae52380df8,cards_senior_0731.jsonl:13,denoising-dirty-documents,easy,2,0,2,0.0,full_external,denoising-dirty-documents__13f0395b31ec47c6a4f8116b12e3ce63,1,1.0,0.0,1,60.3,2,7910.258288726211,7910.258288726211,7910.258288726211,1.0,1.0
denoising-dirty-documents__033f1f41cef04bd590777cae52380df8,cards_senior_0731.jsonl:13,denoising-dirty-documents,easy,2,0,2,0.0,full_self_report_available,denoising-dirty-documents__13f0395b31ec47c6a4f8116b12e3ce63,1,1.0,0.0,1,60.3,2,7910.258288726211,7910.258288726211,7910.258288726211,1.0,1.0
denoising-dirty-documents__033f1f41cef04bd590777cae52380df8,cards_senior_0731.jsonl:13,denoising-dirty-documents,easy,2,0,2,0.0,full_self_report_complete,denoising-dirty-documents__13f0395b31ec47c6a4f8116b12e3ce63,1,1.0,0.0,1,60.3,2,7910.258288726211,7910.258288726211,7910.258288726211,1.0,1.0
denoising-dirty-documents__033f1f41cef04bd590777cae52380df8,cards_senior_0731.jsonl:13,denoising-dirty-documents,easy,2,0,2,0.0,sub120_available,denoising-dirty-documents__13f0395b31ec47c6a4f8116b12e3ce63|denoising-dirty-documents__823936b3bbff49418a2f507faded41af,2,0.5,0.032529999999999996,1.5,60.3,0,7910.258288726211,60.3,60.3,0.007623012776452602,0.007623012776452602
denoising-dirty-documents__033f1f41cef04bd590777cae52380df8,cards_senior_0731.jsonl:13,denoising-dirty-documents,easy,2,0,2,0.0,artifact120_escalate_silent,denoising-dirty-documents__13f0395b31ec47c6a4f8116b12e3ce63,1,1.0,0.0,1,60.3,2,7910.258288726211,7970.558288726211,7910.558288726211,1.0076230127764527,1.000037925436699
denoising-dirty-documents__4cb4122fb9814bf884cdafecf62298e9,cards_senior_0804.jsonl:23,denoising-dirty-documents,easy,2,0,2,0.0,random,denoising-dirty-documents__3f15dea796044d05a16fd6e273d740d8|denoising-dirty-documents__ec6f4762e28d40baaf94ee6b6664a820,2,0.5,0.08098999999999998,1.5,60.2,0,5440.142480649054,0.0,0.0,0.0,0.0
denoising-dirty-documents__4cb4122fb9814bf884cdafecf62298e9,cards_senior_0804.jsonl:23,denoising-dirty-documents,easy,2,0,2,0.0,full_external,denoising-dirty-documents__3f15dea796044d05a16fd6e273d740d8,1,1.0,0.0,1,60.2,2,5440.142480649054,5440.142480649054,5440.142480649054,1.0,1.0
