task,fold,gap_bin,gap_interval,supported,sibling_count,candidate_count,sibling_mean_gap,candidate_mean_gap,fixed_frozen_global_sibling_accuracy,fixed_frozen_global_candidate_accuracy,op_only_lr_sibling_accuracy,op_only_lr_candidate_accuracy,static_lr_sibling_accuracy,static_lr_candidate_accuracy,char_tfidf_lr_sibling_accuracy,char_tfidf_lr_candidate_accuracy
spaceship-titanic,3,4,"[0.003,0.01)",1,3,62,0.0049833333333333335,0.006394516129032256,0.3333333333333333,0.41935483870967744,0.5,0.5,0.3333333333333333,0.41935483870967744,0.0,0.6129032258064516
spaceship-titanic,3,5,"[0.01,0.03)",1,7,79,0.015107142857142857,0.016280379746835445,0.42857142857142855,0.21518987341772153,0.5,0.5,0.7142857142857143,0.3037974683544304,1.0,0.6582278481012658
spaceship-titanic,3,6,"[0.03,0.1)",1,8,59,0.06911125,0.06602389830508475,1.0,0.423728813559322,0.5,0.5,0.5,0.3559322033898305,0.75,0.7627118644067796
spaceship-titanic,3,7,"[0.1,0.3)",1,2,17,0.148275,0.15192882352941176,1.0,0.058823529411764705,0.5,0.5,0.5,0.35294117647058826,1.0,1.0
spaceship-titanic,4,5,"[0.01,0.03)",0,2,2,0.02414,0.014945,0.5,0.0,0.5,0.5,1.0,0.5,0.5,0.0
spaceship-titanic,4,6,"[0.03,0.1)",0,1,1,0.0954,0.03219,1.0,0.0,0.5,0.5,0.0,1.0,1.0,1.0
spaceship-titanic,4,7,"[0.1,0.3)",0,1,2,0.12529,0.118395,0.0,1.0,0.5,0.5,0.0,0.5,1.0,1.0
spooky-author-identification,0,0,"[0,0.0001)",1,16,12,3.500000000000001e-05,5.4166666666666664e-05,0.75,0.0,0.5,0.5,0.6875,0.6666666666666666,0.3125,0.9166666666666666
spooky-author-identification,0,1,"[0.0001,0.0003)",1,20,8,0.00017,0.00020375000000000002,0.5,0.625,0.5,0.5,0.45,0.625,0.55,0.625
spooky-author-identification,0,2,"[0.0003,0.001)",1,23,82,0.0005604347826086955,0.0006904878048780487,0.30434782608695654,0.43902439024390244,0.5,0.5,0.4782608695652174,0.6219512195121951,0.5217391304347826,0.5121951219512195
spooky-author-identification,0,3,"[0.001,0.003)",1,47,198,0.0017989361702127657,0.0016929292929292927,0.574468085106383,0.46464646464646464,0.5,0.5,0.5531914893617021,0.6313131313131313,0.46808510638297873,0.5404040404040404
spooky-author-identification,0,4,"[0.003,0.01)",1,88,330,0.005859090909090906,0.006353787878787876,0.5,0.6848484848484848,0.5,0.5,0.5454545454545454,0.4393939393939394,0.6818181818181818,0.5606060606060606
spooky-author-identification,0,5,"[0.01,0.03)",1,82,2956,0.01861585365853658,0.021566001353179997,0.5,0.4428281461434371,0.5,0.5,0.5,0.3125845737483085,0.5487804878048781,0.40493910690121787
spooky-author-identification,0,6,"[0.03,0.1)",1,74,27876,0.04764932432432431,0.05793317405653631,0.44594594594594594,0.3494762519730234,0.5,0.5,0.3918918918918919,0.3664442531209643,0.5135135135135135,0.6000860955660784
spooky-author-identification,0,7,"[0.1,0.3)",1,24,8071,0.1528258333333333,0.15127116218560147,0.7083333333333334,0.42113740552595713,0.5,0.5,0.5833333333333334,0.6961962582084005,0.5833333333333334,0.6674513690992442
spooky-author-identification,0,8,"[0.3,inf)",1,8,1648,5.47136875,5.595097888349513,0.625,0.5552184466019418,0.5,0.5,0.375,0.8689320388349514,0.75,0.4265776699029126
spooky-author-identification,1,0,"[0,0.0001)",1,4,8,5.5e-05,5.75e-05,0.5,0.125,0.5,0.5,0.25,0.375,0.75,0.25
spooky-author-identification,1,1,"[0.0001,0.0003)",1,9,41,0.00017,0.00019512195121951223,0.4444444444444444,0.5609756097560976,0.5,0.5,0.5555555555555556,0.4878048780487805,0.6666666666666666,0.5121951219512195
spooky-author-identification,1,2,"[0.0003,0.001)",1,38,83,0.0005605263157894734,0.000621566265060241,0.47368421052631576,0.6506024096385542,0.5,0.5,0.5526315789473685,0.5542168674698795,0.42105263157894735,0.39759036144578314
spooky-author-identification,1,3,"[0.001,0.003)",1,42,182,0.001570238095238095,0.0018843406593406597,0.5238095238095238,0.5274725274725275,0.5,0.5,0.5238095238095238,0.6043956043956044,0.5714285714285714,0.5879120879120879
spooky-author-identification,1,4,"[0.003,0.01)",1,56,613,0.005678750000000001,0.006390309951060358,0.625,0.5791190864600326,0.5,0.5,0.6785714285714286,0.5954323001631321,0.5357142857142857,0.5415986949429038
spooky-author-identification,1,5,"[0.01,0.03)",1,56,1845,0.018543392857142856,0.021097859078590808,0.48214285714285715,0.5967479674796748,0.5,0.5,0.5714285714285714,0.394579945799458,0.6071428571428571,0.6937669376693767
spooky-author-identification,1,6,"[0.03,0.1)",1,31,3979,0.05292516129032258,0.05915454385524001,0.4838709677419355,0.6154812767026892,0.5,0.5,0.5806451612903226,0.6343302337270671,0.6774193548387096,0.8298567479266147
spooky-author-identification,1,7,"[0.1,0.3)",1,15,1886,0.150368,0.14894229056203598,0.4666666666666667,0.8213149522799575,0.5,0.5,0.6666666666666666,0.7725344644750796,0.7333333333333333,0.6935312831389183
spooky-author-identification,1,8,"[0.3,inf)",1,4,350,1.43803,2.0361947714285717,0.5,0.5085714285714286,0.5,0.5,0.5,0.8485714285714285,0.25,0.8371428571428572
spooky-author-identification,2,0,"[0,0.0001)",0,1,4,4e-05,5e-05,1.0,0.5,0.5,0.5,1.0,0.0,1.0,0.25
spooky-author-identification,2,1,"[0.0001,0.0003)",1,2,14,0.00022,0.00020357142857142858,0.0,0.2857142857142857,0.5,0.5,0.5,0.5,1.0,0.5
spooky-author-identification,2,2,"[0.0003,0.001)",1,5,32,0.000602,0.0006115624999999999,0.2,0.375,0.5,0.5,0.4,0.375,0.6,0.5
spooky-author-identification,2,3,"[0.001,0.003)",1,10,125,0.0017689999999999997,0.0019478400000000006,0.5,0.528,0.5,0.5,0.7,0.512,0.5,0.48
spooky-author-identification,2,4,"[0.003,0.01)",1,21,345,0.006656190476190477,0.006386173913043481,0.42857142857142855,0.48985507246376814,0.5,0.5,0.38095238095238093,0.5043478260869565,0.47619047619047616,0.5391304347826087
spooky-author-identification,2,5,"[0.01,0.03)",1,38,1142,0.01921657894736842,0.020236628721541118,0.6842105263157895,0.6576182136602452,0.5,0.5,0.6578947368421053,0.6077057793345009,0.7105263157894737,0.7311733800350263
spooky-author-identification,2,6,"[0.03,0.1)",1,37,4515,0.04819918918918919,0.06308864230343307,0.5945945945945946,0.84296788482835,0.5,0.5,0.7027027027027027,0.6965669988925803,0.5945945945945946,0.9069767441860465
spooky-author-identification,2,7,"[0.1,0.3)",1,4,1220,0.1708675,0.15862337704918028,0.25,0.6491803278688525,0.5,0.5,0.75,0.8237704918032787,0.5,0.8426229508196721
spooky-author-identification,2,8,"[0.3,inf)",1,1,198,0.60333,0.7293767171717179,0.0,0.41414141414141414,0.5,0.5,1.0,0.9747474747474747,1.0,0.7474747474747475
spooky-author-identification,3,0,"[0,0.0001)",0,1,1,8e-05,9e-05,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
spooky-author-identification,3,1,"[0.0001,0.0003)",0,2,2,0.00025,0.00016,0.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0
spooky-author-identification,3,4,"[0.003,0.01)",1,1,5,0.00595,0.005484,0.0,0.4,0.5,0.5,0.0,0.6,0.0,0.4
spooky-author-identification,3,5,"[0.01,0.03)",1,6,9,0.020501666666666665,0.019183333333333333,0.6666666666666666,0.5555555555555556,0.5,0.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.7777777777777778
spooky-author-identification,3,6,"[0.03,0.1)",1,3,26,0.03810333333333333,0.057264230769230776,0.3333333333333333,0.5769230769230769,0.5,0.5,0.0,0.5384615384615384,0.6666666666666666,0.5384615384615384
spooky-author-identification,3,7,"[0.1,0.3)",1,2,71,0.13199,0.20532436619718303,1.0,0.8873239436619719,0.5,0.5,1.0,0.971830985915493,1.0,0.8591549295774648
spooky-author-identification,3,8,"[0.3,inf)",1,2,72,0.48342,0.5512243055555556,0.5,0.4027777777777778,0.5,0.5,0.5,0.9027777777777778,0.5,0.75
